ability_id,occurrences,card,has_activated_nonmana,n_activated_nonmana,n_triggered,found
90761,66,"Friendly Teddy",0,0,1,1
174551,64,"Victor, Valgavoth's Seneschal",0,0,1,1
149473,61,"Charred Foyer // Warped Space",0,0,0,1
174399,61,"Overlord of the Balemurk",0,0,2,1
174371,60,"Cracked Skull",0,0,2,1
151523,60,"Valgavoth's Faithful",1,1,0,1
174434,56,"Infernal Phantom",0,0,2,1
174577,56,"Boilerbilges Ripper",0,0,1,1
174476,54,"Hedge Shredder",1,1,2,1
174290,54,"Overlord of the Mistmoors",0,0,2,1
174490,51,"Everywhere",,,,0
174423,50,"Diversion Specialist",1,1,0,1
174512,49,"Insect",,,,0
137218,47,"Funeral Room // Awakening Hall",0,0,0,1
174440,46,"Overlord of the Boilerbilges",0,0,2,1
93125,43,"Baseball Bat",1,1,2,1
174575,43,"Come Back Wrong",0,0,0,1
174286,43,"Living Phone",0,0,1,1
174439,42,"Overlord of the Boilerbilges",0,0,2,1
174477,41,"Hedge Shredder",1,1,2,1
174566,40,"Saw",1,1,1,1
174319,40,"Creeping Peeper",0,0,0,1
174449,39,"The Rollercrusher Ride",0,0,1,1
133218,38,"Infernal Phantom",0,0,2,1
174428,37,"Fear of Missing Out",0,0,2,1
137205,37,"Clammy Prowler",0,0,1,1
174406,37,"Unstoppable Slasher",0,0,2,1
174292,37,"Possessed Goat",1,1,0,1
174474,37,"Hauntwoods Shrieker",1,1,1,1
174520,36,"Intruding Soulrager",1,1,0,1
174543,35,"Shrewd Storyteller",0,0,1,1
174562,35,"Haunted Screen",1,1,0,1
174342,34,"Overlord of the Floodpits",0,0,2,1
174383,34,"Fear of the Dark",0,0,1,1
174531,33,"Shard",,,,0
174530,33,"Nashi, Searcher in the Dark",0,0,1,1
174340,32,"Mirror Room // Fractured Realm",0,0,0,1
174421,32,"Cursed Recording",1,1,1,1
169639,30,"Ripchain Razorkin",1,1,0,1
174473,29,"Greenhouse // Rickety Gazebo",0,0,0,1
174317,29,"Central Elevator // Promising Stairs",0,0,0,1
174535,29,"Restricted Office // Lecture Hall",0,0,0,1
174295,28,"Savior of the Small",0,0,1,1
174555,26,"Attack-in-the-Box",0,0,1,1
176357,26,"Anthropede",0,0,1,1
174578,26,"Cursed Recording",1,1,1,1
2799,26,"Enduring Tenacity",0,0,2,1
174552,24,"Winter, Misanthropic Guide",0,0,2,1
174422,24,"Cursed Recording",1,1,1,1
177396,23,"Waltz of Rage",0,0,0,1
174536,23,"Rip, Spawn Hunter",0,0,1,1
174499,22,"Spider",,,,0
174489,22,"Everywhere",,,,0
174500,22,"Tyvar, the Pummeler",1,2,0,1
174294,22,"Reluctant Role Model",0,0,2,1
174393,22,"Meathook Massacre II",0,0,3,1
174501,21,"Tyvar, the Pummeler",1,2,0,1
210,21,"Shard",,,,0
174392,21,"Meathook Massacre II",0,0,3,1
174524,19,"Kaito, Bane of Nightmares",1,4,0,1
174481,19,"Kona, Rescue Beastie",0,0,1,1
174450,18,"Screaming Nemesis",0,0,1,1
174475,18,"Hauntwoods Shrieker",1,1,1,1
174526,17,"Kaito, Bane of Nightmares",1,4,0,1
174525,15,"Kaito, Bane of Nightmares",1,4,0,1
174494,15,"Altanak, the Thrice-Called",1,1,1,1
91932,15,"Fear of Failed Tests",0,0,1,1
1131,14,"Bleeding Woods",0,0,0,1
174386,14,"Grievous Wound",0,0,1,1
174581,11,"Attack-in-the-Box",0,0,1,1
4407,10,"Strangled Cemetery",0,0,0,1
174580,10,"Shard",,,,0
1211,10,"Razortrap Gorge",0,0,0,1
1167,9,"Murky Sewer",0,0,0,1
174384,8,"Funeral Room // Awakening Hall",0,0,0,1
168506,8,"Kaito, Bane of Nightmares",1,4,0,1
174391,8,"Meathook Massacre II",0,0,3,1
4247,8,"Raucous Carnival",0,0,0,1
146547,7,"Spirit Cleric",,,,0
174352,6,"The Tale of Tamiyo",0,0,4,1
174353,6,"The Tale of Tamiyo",0,0,4,1
1039,6,"Peculiar Lighthouse",0,0,0,1
18504,6,"Lakeside Shack",0,0,0,1
2639,6,"Soul Warden",0,0,1,1
1203,5,"Etched Cornfield",0,0,0,1
