game,first_mismatch_turn,first_fail_turn,first_fail_seat,first_fail_kind,first_fail_why,n_fails
509,5,6,U,LAND,not_in_hand,15
512,4,5,U,LAND,not_in_hand,10
513,5,10,O,BLOCK,no_blocker,1
514,10,9,U,CASTI,not_in_hand,14
516,8,10,U,ATTACK,no_attacker_absent,6
528,6,7,U,ATTACK,no_attacker_absent,9
543,5,13,U,DRAW,not_in_library_graveyard,15
547,13,11,O,SWAP,not_in_library_missing,9
558,6,8,U,LAND,not_in_hand,8
564,7,8,U,DRAW,not_in_library_graveyard,12
569,6,7,U,DRAW,not_in_library_hand,13
593,10,12,O,BLOCK,no_blocker,2
604,6,8,O,SWAP,not_in_library_graveyard,7
621,5,7,U,CAST,not_playable,24
624,5,7,U,DRAW,not_in_library_hand,8
629,9,12,O,BLOCK,no_blocker,6
633,6,7,O,CAST,not_playable,27
634,5,7,U,DRAW,not_in_library_hand,17
638,9,11,U,ATTACK,no_attacker_absent,4
646,6,6,U,DRAW,not_in_library_graveyard,15
647,5,5,U,DRAW,not_in_library_graveyard,22
650,5,5,U,LAND,not_in_hand,3
653,9,11,U,ATTACK,no_attacker_absent,4
677,7,7,U,LAND,not_in_hand,9
680,11,11,O,CAST,not_playable,1
686,5,7,U,CAST,not_in_hand,8
688,8,14,U,ATTACK,no_attacker_absent,2
712,9,9,O,CAST,activate_failed,7
726,7,7,O,SWAP,not_in_library_graveyard,7
736,9,14,U,CAST,not_in_hand,11
748,3,5,U,ATTACK,no_attacker_absent,10
762,3,5,U,DRAW,not_in_library_battlefield,29
767,3,5,U,ATTACK,no_attacker_absent,5
786,5,,,,,0
801,6,7,U,DRAW,not_in_library_graveyard,19
822,7,9,U,ATTACK,no_attacker_absent,9
825,3,5,O,ATTACK,no_attacker_absent,5
826,7,7,U,LAND,not_in_hand,6
830,8,9,U,BLOCK,no_blocker,3
836,7,,,,,0
839,10,12,U,CAST,not_in_hand,5
848,3,6,O,SWAP,not_in_library_graveyard,13
858,6,6,O,CAST,activate_failed,4
859,3,11,O,SWAP,no_spare_hand_grew,4
886,5,11,U,CAST,not_in_hand,8
956,7,9,U,CAST,not_in_hand,13
970,4,10,U,ATTACK,no_attacker_absent,2
977,10,10,U,LAND,not_in_hand,12
983,6,6,U,CAST,not_playable,14
993,8,9,U,DRAW,not_in_library_graveyard,10
996,10,10,U,DRAW,not_in_library_graveyard,7
1027,5,10,U,DRAW,not_in_library_graveyard,9
1036,6,6,U,CAST,not_playable,21
1038,5,7,U,DRAW,not_in_library_battlefield,8
1069,8,15,O,SWAP,no_spare_hand_grew,7
1075,7,8,U,BLOCK,no_blocker,8
1079,6,8,U,CAST,not_in_hand,24
1090,3,5,U,DRAW,not_in_library_battlefield,16
1091,11,13,O,SWAP,no_spare_hand_grew,7
1099,6,8,U,DRAW,not_in_library_graveyard,4
1105,7,8,U,LAND,not_in_hand,10
1106,7,9,U,BLOCK,no_blocker,3
1110,8,8,U,CAST,activate_failed,12
1112,6,7,U,BLOCK,no_blocker,26
1128,6,6,U,DRAW,not_in_library_graveyard,5
1133,14,16,O,SWAP,no_spare_hand_grew,6
1137,9,5,U,ATTACK,no_attacker_already_attacking,15
1140,7,9,U,BLOCK,no_blocker,5
1144,5,5,U,CAST,not_in_hand,21
1155,5,7,U,DRAW,not_in_library_graveyard,5
1170,7,9,U,CAST,not_in_hand,4
1177,6,9,U,CAST,not_in_hand,24
1179,3,6,O,CAST,not_playable,11
1184,7,13,U,BLOCK,no_blocker,2
1187,5,8,U,DRAW,not_in_library_battlefield,14
1208,6,6,U,DRAW,not_in_library_graveyard,29
1228,5,5,O,ATTACK,no_attacker_absent,3
1236,7,11,O,SWAP,no_spare_hand_grew,3
1271,6,8,U,DRAW,not_in_library_elsewhere,4
1296,5,7,U,DRAW,not_in_library_elsewhere,4
1303,9,12,U,DRAW,not_in_library_battlefield,6
1308,4,6,U,DRAW,not_in_library_hand,23
1311,4,6,U,DRAW,not_in_library_hand,13
1346,8,9,O,SWAP,not_in_library_battlefield,5
1348,10,12,O,ATTACK,no_attacker_absent,6
1354,7,,,,,0
1385,,7,O,BLOCK,no_blocker,1
1397,5,5,U,DRAW,not_in_library_graveyard,16
1401,5,7,U,ATTACK,no_attacker_absent,4
1404,5,7,O,ATTACK,no_attacker_absent,26
1415,4,5,U,LAND,not_in_hand,4
1442,5,11,U,ATTACK,no_attacker_tapped,1
1444,7,8,U,LAND,not_in_hand,5
1445,6,8,U,BLOCK,no_blocker,12
1464,5,10,U,DRAW,not_in_library_battlefield,8
1465,5,6,U,DRAW,not_in_library_graveyard,23
1483,8,10,U,LAND,not_in_hand,4
1484,9,10,U,LAND,not_in_hand,13
1492,6,10,U,ATTACK,no_attacker_absent,9
1498,9,,,,,0
1513,8,8,U,CAST,not_in_hand,4
1525,7,8,U,BLOCK,no_blocker,9
1528,3,5,U,DRAW,not_in_library_graveyard,2
1530,7,7,U,CAST,not_playable,15
1532,8,10,U,LAND,not_in_hand,13
1540,7,10,U,DRAW,not_in_library_graveyard,5
1542,10,10,O,SWAP,not_in_library_graveyard,5
1568,4,7,O,CAST,not_playable,6
1578,4,8,U,CAST,not_in_hand,20
1585,8,10,U,DRAW,not_in_library_hand,10
1602,10,10,U,DRAW,not_in_library_graveyard,22
1610,7,9,O,BLOCK,no_blocker,5
1621,9,10,O,CAST,not_playable,2
1641,7,8,U,CAST,not_in_hand,5
1642,5,6,U,DRAW,not_in_library_hand,20
1643,7,8,O,SWAP,not_in_library_graveyard,16
1648,13,13,O,ATTACK,no_attacker_absent,10
1652,7,7,U,DRAW,not_in_library_graveyard,8
1660,13,11,U,CASTI,not_in_hand,10
1663,5,6,U,LAND,not_in_hand,8
1664,10,11,U,BLOCK,no_blocker,23
1665,9,9,U,LAND,not_in_hand,33
1669,5,5,U,CAST,not_in_hand,6
1672,8,8,U,CAST,activate_failed,18
1697,8,7,O,SWAP,not_in_library_missing,4
1718,7,9,O,ATTACK,no_attacker_absent,7
1724,9,9,U,LAND,not_in_hand,8
1733,3,5,U,CAST,not_in_hand,19
1758,6,8,U,DRAW,not_in_library_graveyard,6
1760,7,7,O,ATTACK,no_attacker_tapped,13
1777,3,5,U,DRAW,not_in_library_hand,18
1792,6,8,U,LAND,not_in_hand,6
1807,5,7,O,SWAP,not_in_library_graveyard,22
1818,6,6,O,BLOCK,no_blocker,1
1822,3,5,U,ATTACK,no_attacker_absent,19
1836,5,5,O,CAST,activate_failed,14
1846,7,4,O,CAST,activate_failed,4
1858,6,8,U,DRAW,not_in_library_graveyard,14
1861,7,9,O,BLOCK,no_blocker,3
1863,7,7,O,CAST,not_playable,15
1877,6,7,U,DRAW,not_in_library_hand,39
1879,7,9,O,SWAP,not_in_library_graveyard,16
1884,9,11,O,SWAP,no_spare_hand_grew,7
1896,7,14,U,CAST,not_in_hand,4
1924,5,11,O,SWAP,not_in_library_battlefield,4
1935,7,8,U,ATTACK,no_attacker_absent,29
1948,5,10,U,CAST,not_in_hand,20
1956,5,5,U,LAND,not_in_hand,13
1960,5,7,U,ATTACK,no_attacker_absent,6
1961,7,10,O,SWAP,not_in_library_graveyard,3
1965,9,10,O,SWAP,not_in_library_graveyard,9
1967,11,11,U,CAST,not_in_hand,17
1993,14,15,U,ATTACK,no_attacker_absent,1
