game,first_mismatch_turn,first_fail_turn,first_fail_seat,first_fail_kind,first_fail_why,n_fails
159,5,5,O,SWAP,not_in_library_graveyard,8
160,7,9,U,LAND,not_in_hand,17
161,4,6,U,BLOCK,no_blocker,13
162,9,10,U,CAST,not_in_hand,1
163,4,5,U,BLOCK,no_blocker,12
164,5,5,U,LAND,not_in_hand,11
165,5,5,U,DRAW,not_in_library_graveyard,4
166,10,8,O,CASTI,not_playable,2
167,6,6,U,DRAW,not_in_library_graveyard,27
168,5,11,U,ATTACK,no_attacker_absent,4
169,3,5,U,DRAW,not_in_library_battlefield,18
170,7,8,U,CASTI,not_in_hand,2
171,9,4,O,CASTI,not_playable,4
172,7,7,U,LAND,not_in_hand,11
173,3,5,U,DRAW,not_in_library_hand,15
174,8,5,O,SWAP,not_in_library_missing,5
175,6,3,O,SWAP,not_in_library_missing,2
176,8,10,U,CAST,not_in_hand,4
177,11,12,U,CAST,not_in_hand,6
178,6,10,U,LAND,not_in_hand,4
179,9,17,O,SWAP,no_spare_hand_grew,1
180,4,9,O,SWAP,not_in_library_graveyard,10
181,6,6,O,BLOCK,no_blocker,4
182,5,7,U,LAND,not_in_hand,9
183,5,13,U,CAST,not_in_hand,4
184,10,14,O,SWAP,not_in_library_missing,1
185,5,11,U,LAND,not_in_hand,4
186,6,6,O,ATTACK,no_attacker_sick_or_cannot,20
187,12,14,O,SWAP,not_in_library_battlefield,18
188,9,12,O,ATTACK,no_attacker_absent,4
189,5,10,O,CAST,not_playable,5
190,6,6,O,CAST,activate_failed,23
191,3,11,U,DRAW,not_in_library_battlefield,15
192,5,8,U,BLOCK,no_blocker,8
193,10,13,O,SWAP,no_spare_hand_grew,43
194,8,10,U,ATTACK,no_attacker_absent,6
195,3,7,U,DRAW,not_in_library_graveyard,15
196,6,6,U,DRAW,not_in_library_graveyard,11
197,9,11,O,SWAP,no_spare_hand_grew,17
198,6,7,U,ATTACK,no_attacker_absent,4
199,6,6,O,CAST,activate_failed,45
200,5,14,O,SWAP,not_in_library_missing,5
201,6,10,U,LAND,not_in_hand,14
202,8,10,O,SWAP,not_in_library_graveyard,11
203,7,7,O,ATTACK,no_attacker_absent,12
204,7,12,U,CAST,not_in_hand,17
205,3,5,U,CAST,not_in_hand,14
206,8,11,U,DRAW,not_in_library_battlefield,14
207,10,7,O,SWAP,not_in_library_missing,8
208,10,10,U,LAND,not_in_hand,25
209,6,14,O,SWAP,no_spare_hand_grew,4
210,7,11,U,DRAW,not_in_library_battlefield,9
211,7,7,O,SWAP,not_in_library_graveyard,14
212,7,10,O,SWAP,not_in_library_graveyard,14
213,6,6,U,CAST,not_playable,7
214,8,8,U,BLOCK,no_legal_assignment,5
215,4,6,U,DRAW,not_in_library_battlefield,20
216,5,9,U,LAND,not_in_hand,3
217,5,6,U,LAND,not_in_hand,7
218,12,15,O,SWAP,no_spare_hand_grew,3
219,7,11,U,ATTACK,no_attacker_tapped,3
220,5,7,U,DRAW,not_in_library_battlefield,17
221,6,7,U,DRAW,not_in_library_graveyard,15
222,6,,,,,0
223,11,11,U,LAND,not_in_hand,2
224,6,8,O,BLOCK,no_blocker,8
225,6,8,U,ATTACK,no_attacker_absent,8
226,4,8,U,DRAW,not_in_library_graveyard,10
227,3,8,O,SWAP,not_in_library_graveyard,33
228,5,5,U,DRAW,not_in_library_graveyard,16
229,6,10,O,CASTI,not_playable,12
230,4,10,U,CAST,not_in_hand,9
231,6,6,U,DRAW,not_in_library_graveyard,16
232,7,9,O,ATTACK,no_attacker_absent,1
233,6,7,O,SWAP,not_in_library_missing,24
234,5,5,U,CAST,not_in_hand,17
235,6,9,U,ATTACK,no_attacker_absent,15
236,6,13,U,CAST,not_in_hand,2
237,7,9,U,CASTI,not_playable,9
238,7,11,O,BLOCK,no_blocker,10
239,7,9,O,SWAP,not_in_library_graveyard,8
240,5,7,O,ATTACK,no_attacker_absent,7
241,5,7,U,LAND,not_in_hand,9
242,4,8,U,ATTACK,no_attacker_absent,3
243,8,8,U,BLOCK,no_blocker,5
244,6,7,U,DRAW,not_in_library_hand,9
245,7,7,U,BLOCK,no_blocker,6
246,5,5,U,DRAW,not_in_library_hand,13
247,3,3,U,DRAW,not_in_library_graveyard,19
248,,,,,,0
249,4,10,U,CAST,not_in_hand,7
250,7,9,O,SWAP,not_in_library_graveyard,7
251,10,16,O,SWAP,not_in_library_graveyard,9
252,5,7,U,DRAW,not_in_library_graveyard,14
253,6,7,U,LAND,not_in_hand,17
254,5,7,U,LAND,not_in_hand,16
255,14,14,U,CAST,not_in_hand,8
256,7,8,U,ATTACK,no_attacker_absent,35
257,8,8,U,DRAW,not_in_library_graveyard,3
258,6,7,U,ATTACK,no_attacker_absent,12
259,9,9,U,CAST,not_in_hand,24
260,4,8,U,CAST,not_in_hand,2
261,7,15,U,ATTACK,no_attacker_absent,7
262,9,15,O,SWAP,not_in_library_graveyard,9
263,4,5,O,BLOCK,no_blocker,23
264,7,6,O,CASTI,not_playable,6
265,5,11,U,LAND,not_in_hand,10
266,10,10,O,SWAP,not_in_library_graveyard,10
267,11,11,O,BLOCK,no_blocker,9
268,7,7,O,BLOCK,no_blocker,23
269,10,12,U,LAND,not_in_hand,1
270,3,3,U,CAST,not_in_hand,19
271,8,10,U,ATTACK,no_attacker_absent,7
272,5,9,U,LAND,not_in_hand,18
273,5,9,U,CAST,not_in_hand,1
274,6,8,U,ATTACK,no_attacker_absent,3
275,5,9,O,ATTACK,no_attacker_absent,2
276,4,5,U,LAND,not_in_hand,5
277,5,5,U,DRAW,not_in_library_graveyard,18
278,9,9,U,LAND,not_in_hand,2
279,12,12,O,SWAP,not_in_library_graveyard,6
280,8,12,O,SWAP,not_in_library_battlefield,16
281,4,6,U,DRAW,not_in_library_hand,9
282,4,4,O,BLOCK,no_blocker,15
283,5,7,U,DRAW,not_in_library_hand,7
284,6,7,U,BLOCK,no_blocker,3
285,10,11,O,SWAP,no_spare_hand_grew,2
286,10,10,U,DRAW,not_in_library_graveyard,6
287,6,6,U,DRAW,not_in_library_graveyard,9
288,7,7,U,CAST,not_in_hand,18
289,9,11,O,ATTACK,no_attacker_absent,3
290,9,13,O,BLOCK,no_blocker,3
291,9,12,U,BLOCK,no_blocker,7
292,7,11,U,CAST,not_in_hand,6
293,7,7,O,ATTACK,no_attacker_absent,4
294,8,13,U,BLOCK,no_blocker,1
295,6,13,U,CAST,not_in_hand,6
296,3,7,U,DRAW,not_in_library_hand,7
297,7,7,U,BLOCK,no_blocker,1
298,8,9,O,CAST,not_playable,12
299,7,7,O,CAST,not_playable,12
300,16,15,O,SWAP,not_in_library_missing,9
301,6,8,O,SWAP,not_in_library_graveyard,2
302,10,8,O,SWAP,not_in_library_missing,11
303,5,6,O,SWAP,not_in_library_missing,8
304,10,12,O,SWAP,not_in_library_graveyard,4
305,2,4,O,CASTI,not_playable,7
306,6,6,O,BLOCK,no_blocker,7
307,6,,,,,0
308,4,8,U,CAST,not_in_hand,14
309,6,6,O,BLOCK,no_blocker,15
310,1,6,U,LAND,not_in_hand,7
311,5,18,O,CAST,not_playable,15
312,6,10,U,ATTACK,no_attacker_absent,17
313,8,8,O,CAST,activate_failed,24
314,7,9,O,SWAP,not_in_library_graveyard,8
315,7,7,O,CAST,activate_failed,1
316,9,10,U,DRAW,not_in_library_graveyard,10
317,5,6,U,BLOCK,no_blocker,8
318,9,9,U,CAST,not_in_hand,7
319,4,4,U,CAST,not_playable,4
320,4,4,O,CAST,not_playable,2
321,3,5,U,ATTACK,no_attacker_absent,22
322,5,7,U,DRAW,not_in_library_battlefield,10
323,4,8,U,CAST,not_in_hand,4
324,7,7,O,ATTACK,no_attacker_absent,4
325,8,8,O,CAST,not_playable,14
326,3,5,U,DRAW,not_in_library_battlefield,6
327,6,6,O,SWAP,not_in_library_graveyard,25
328,8,9,U,LAND,not_in_hand,16
329,7,7,O,SWAP,not_in_library_missing,5
330,5,5,U,ATTACK,no_attacker_tapped,10
331,8,9,U,CAST,not_in_hand,10
332,5,5,U,DRAW,not_in_library_graveyard,4
333,5,5,O,BLOCK,no_blocker,25
334,7,7,O,SWAP,not_in_library_graveyard,5
335,5,7,U,ATTACK,no_attacker_absent,30
336,6,6,O,BLOCK,no_blocker,15
337,3,5,U,LAND,not_in_hand,7
338,4,7,U,BLOCK,no_blocker,24
339,8,9,U,BLOCK,no_blocker,17
340,7,11,U,CAST,not_in_hand,10
341,10,12,O,ATTACK,no_attacker_tapped,5
342,8,14,U,DRAW,not_in_library_hand,27
343,4,16,O,ATTACK,no_attacker_absent,12
344,3,3,U,CAST,activate_failed,11
345,5,7,U,ATTACK,no_attacker_absent,6
346,7,9,U,BLOCK,no_blocker,16
347,11,11,O,ATTACK,no_attacker_sick_or_cannot,10
348,3,7,U,CAST,not_in_hand,6
349,4,4,O,CAST,not_playable,16
350,6,6,U,LAND,not_in_hand,18
351,8,,,,,0
352,5,7,U,DRAW,not_in_library_hand,17
353,5,6,U,BLOCK,no_blocker,5
354,6,6,O,BLOCK,no_blocker,9
355,7,12,U,LAND,not_in_hand,12
356,4,8,U,ATTACK,no_attacker_absent,22
357,3,5,U,ATTACK,no_attacker_absent,10
358,7,7,U,LAND,not_in_hand,7
359,6,9,O,SWAP,not_in_library_graveyard,18
360,6,8,O,CAST,not_playable,4
361,7,7,U,CAST,not_in_hand,2
362,7,10,U,CAST,activate_failed,5
363,7,9,U,DRAW,not_in_library_battlefield,16
364,8,10,U,DRAW,not_in_library_battlefield,15
365,5,5,U,LAND,not_in_hand,8
366,5,7,U,DRAW,not_in_library_battlefield,9
367,6,8,U,ATTACK,no_attacker_absent,18
368,7,7,O,ATTACK,no_attacker_sick_or_cannot,17
369,7,7,U,BLOCK,no_blocker,6
370,11,23,U,CAST,not_in_hand,6
371,3,8,U,DRAW,not_in_library_battlefield,34
372,5,5,O,CAST,not_playable,15
373,7,7,U,LAND,not_in_hand,21
374,4,9,O,SWAP,not_in_library_graveyard,2
375,5,6,O,CASTI,not_playable,1
376,7,9,U,LAND,not_in_hand,26
377,7,9,O,CAST,not_playable,6
378,4,4,U,DRAW,not_in_library_graveyard,24
379,7,7,O,CAST,not_playable,4
380,10,,,,,0
381,6,6,U,CAST,not_playable,10
382,8,9,O,SWAP,no_spare_hand_grew,10
383,11,12,U,ATTACK,no_attacker_absent,6
384,6,8,U,LAND,not_in_hand,31
385,4,6,U,DRAW,not_in_library_hand,15
386,8,12,U,DRAW,not_in_library_graveyard,6
387,7,7,U,DRAW,not_in_library_graveyard,9
388,8,9,U,BLOCK,no_blocker,4
389,7,7,U,ATTACK,no_attacker_tapped,4
390,6,10,U,LAND,not_in_hand,3
391,3,3,U,LAND,not_in_hand,7
392,10,12,U,DRAW,not_in_library_elsewhere,14
393,7,7,U,LAND,not_in_hand,1
394,5,5,O,BLOCK,no_blocker,6
395,9,9,O,CAST,not_playable,5
396,8,,,,,0
397,4,5,U,ATTACK,no_attacker_absent,15
398,4,6,U,DRAW,not_in_library_battlefield,9
399,6,9,O,SWAP,not_in_library_missing,13
400,9,12,O,CAST,not_playable,9
401,10,10,U,LAND,not_in_hand,28
402,5,5,U,DRAW,not_in_library_graveyard,30
403,6,6,O,CAST,not_playable,12
404,7,7,U,LAND,not_in_hand,15
405,8,10,O,SWAP,not_in_library_graveyard,14
406,5,14,O,SWAP,not_in_library_graveyard,2
407,5,5,U,LAND,not_in_hand,9
408,9,11,O,SWAP,no_spare_hand_grew,5
409,10,13,U,DRAW,not_in_library_hand,9
410,5,4,O,SWAP,not_in_library_missing,16
411,8,8,U,DRAW,not_in_library_graveyard,6
412,9,14,U,LAND,not_in_hand,3
413,6,7,O,CAST,activate_failed,9
414,7,9,U,ATTACK,no_attacker_absent,7
415,8,10,O,SWAP,not_in_library_graveyard,4
416,7,7,O,BLOCK,no_blocker,6
417,5,11,U,DRAW,not_in_library_battlefield,19
418,7,10,U,DRAW,not_in_library_battlefield,19
419,,,,,,0
420,6,10,U,CAST,not_in_hand,9
421,5,5,U,CAST,not_in_hand,3
422,10,12,U,DRAW,not_in_library_battlefield,1
423,7,8,O,ATTACK,no_attacker_absent,12
424,8,12,U,DRAW,not_in_library_battlefield,4
425,6,8,U,LAND,not_in_hand,13
426,7,9,O,SWAP,not_in_library_missing,5
427,6,3,O,SWAP,not_in_library_missing,8
428,7,9,O,SWAP,not_in_library_graveyard,7
429,4,8,U,CAST,not_in_hand,7
430,12,14,U,DRAW,not_in_library_hand,15
431,3,5,U,ATTACK,no_attacker_absent,15
432,4,6,U,CAST,not_in_hand,4
433,5,6,U,BLOCK,no_blocker,13
434,8,9,U,CAST,activate_failed,11
435,3,5,U,LAND,not_in_hand,7
436,6,8,O,BLOCK,no_blocker,10
437,3,7,U,DRAW,not_in_library_hand,10
438,4,7,U,CAST,not_playable,2
439,6,8,U,ATTACK,no_attacker_absent,1
440,7,7,U,CAST,not_playable,9
441,6,6,U,DRAW,not_in_library_graveyard,19
442,9,11,U,DRAW,not_in_library_graveyard,2
443,15,15,O,CAST,not_playable,1
444,5,5,O,SWAP,not_in_library_graveyard,18
445,3,3,U,DRAW,not_in_library_graveyard,12
446,12,12,O,SWAP,not_in_library_battlefield,2
447,7,8,O,CAST,not_playable,4
448,5,7,U,LAND,not_in_hand,44
449,8,9,U,LAND,not_in_hand,3
450,6,6,O,CAST,activate_failed,7
451,5,9,U,DRAW,not_in_library_battlefield,3
452,8,10,O,SWAP,no_spare_hand_grew,2
453,6,6,U,DRAW,not_in_library_graveyard,25
454,6,6,U,DRAW,not_in_library_graveyard,2
455,3,5,U,ATTACK,no_attacker_absent,5
456,5,11,U,LAND,not_in_hand,4
457,7,10,U,LAND,not_in_hand,9
458,6,6,U,DRAW,not_in_library_graveyard,6
459,7,5,O,SWAP,not_in_library_missing,13
460,5,5,U,LAND,not_in_hand,5
461,5,11,U,BLOCK,no_blocker,2
462,6,8,O,CASTI,not_playable,12
463,7,7,O,ATTACK,no_attacker_absent,4
464,5,7,O,ATTACK,no_attacker_tapped,10
465,2,4,O,CASTI,not_playable,8
466,9,10,U,LAND,not_in_hand,17
467,5,6,U,LAND,not_in_hand,9
468,6,6,U,DRAW,not_in_library_graveyard,26
469,7,7,U,LAND,not_in_hand,24
470,10,12,U,DRAW,not_in_library_graveyard,20
471,4,5,U,LAND,not_in_hand,8
472,7,8,O,BLOCK,no_blocker,15
473,9,10,U,DRAW,not_in_library_elsewhere,12
474,8,8,U,LAND,not_in_hand,7
475,8,11,U,BLOCK,no_blocker,7
476,8,8,U,DRAW,not_in_library_graveyard,16
477,3,7,U,DRAW,not_in_library_graveyard,12
478,5,9,U,DRAW,not_in_library_graveyard,8
479,14,14,O,SWAP,not_in_library_battlefield,5
480,6,8,U,ATTACK,no_attacker_absent,2
481,5,6,U,LAND,not_in_hand,19
482,4,9,U,BLOCK,no_blocker,6
483,9,11,U,CAST,not_in_hand,2
484,6,6,U,LAND,not_in_hand,2
485,5,7,U,DRAW,not_in_library_hand,15
486,10,9,O,BLOCK,no_blocker,5
487,5,7,U,DRAW,not_in_library_battlefield,10
488,6,9,O,SWAP,not_in_library_graveyard,16
489,5,10,U,LAND,not_in_hand,20
490,8,8,U,CAST,not_in_hand,24
491,11,10,O,SWAP,not_in_library_missing,10
492,4,5,U,ATTACK,no_attacker_absent,5
493,6,5,O,SWAP,not_in_library_graveyard,18
494,7,7,U,BLOCK,no_blocker,15
495,8,8,U,CAST,activate_failed,14
496,6,7,O,ATTACK,no_attacker_absent,9
497,6,8,U,DRAW,not_in_library_battlefield,12
498,10,,,,,0
499,6,8,U,LAND,not_in_hand,15
500,9,,,,,0
501,9,17,U,CAST,not_in_hand,1
502,9,10,U,DRAW,not_in_library_hand,16
503,3,5,U,LAND,not_in_hand,19
504,7,7,U,CAST,not_playable,38
505,3,3,U,CAST,not_in_hand,7
506,3,11,U,DRAW,not_in_library_battlefield,1
507,12,12,O,CAST,activate_failed,1
508,5,,,,,0
509,5,6,U,LAND,not_in_hand,15
510,2,6,U,CAST,not_playable,8
511,5,9,U,LAND,not_in_hand,10
512,4,5,U,LAND,not_in_hand,10
513,5,10,O,BLOCK,no_blocker,1
514,10,9,U,CASTI,not_in_hand,14
515,10,11,O,ATTACK,no_attacker_absent,10
516,8,8,U,CAST,not_playable,9
517,8,9,U,LAND,not_in_hand,6
518,13,12,O,SWAP,not_in_library_missing,1
519,9,,,,,0
520,4,8,U,DRAW,not_in_library_graveyard,10
521,4,5,U,ATTACK,no_attacker_absent,6
522,3,,,,,0
523,4,5,U,BLOCK,no_blocker,10
524,5,9,U,CAST,not_playable,6
525,7,7,U,LAND,not_in_hand,3
526,11,6,O,CASTI,not_playable,3
527,10,11,O,SWAP,not_in_library_missing,2
528,6,7,U,ATTACK,no_attacker_absent,9
529,6,7,U,LAND,not_in_hand,13
530,6,8,U,DRAW,not_in_library_elsewhere,3
531,4,6,U,CAST,not_in_hand,10
532,9,9,O,SWAP,not_in_library_graveyard,5
533,8,,,,,0
534,5,11,U,ATTACK,no_attacker_absent,2
535,8,8,U,ATTACK,no_attacker_tapped,9
536,5,14,O,SWAP,not_in_library_graveyard,12
537,5,5,U,LAND,not_in_hand,25
538,5,11,U,CAST,not_playable,13
539,8,,,,,0
540,6,10,U,ATTACK,no_attacker_tapped,7
541,,,,,,0
542,10,11,O,SWAP,not_in_library_battlefield,3
543,5,13,U,DRAW,not_in_library_graveyard,14
544,11,11,O,SWAP,no_spare_hand_grew,7
545,8,8,U,CAST,not_in_hand,10
546,9,9,U,LAND,not_in_hand,4
547,13,11,O,SWAP,not_in_library_missing,9
548,6,6,U,DRAW,not_in_library_graveyard,16
549,4,9,U,CAST,activate_failed,10
550,8,9,U,CAST,not_in_hand,18
551,8,8,U,DRAW,not_in_library_graveyard,7
552,7,7,O,SWAP,not_in_library_graveyard,33
553,5,5,U,CAST,not_in_hand,14
554,10,10,O,BLOCK,no_blocker,1
555,5,6,U,ATTACK,no_attacker_absent,26
556,4,4,O,CAST,not_playable,28
557,7,11,O,CAST,not_playable,2
558,6,8,U,LAND,not_in_hand,10
559,4,8,O,CASTI,not_playable,14
560,6,6,O,BLOCK,no_blocker,3
561,5,6,U,LAND,not_in_hand,9
562,6,6,U,CAST,activate_failed,11
563,7,8,U,DRAW,not_in_library_battlefield,11
564,7,8,U,DRAW,not_in_library_graveyard,12
565,7,11,O,SWAP,no_spare_hand_grew,2
566,5,7,O,SWAP,not_in_library_missing,8
567,8,8,O,SWAP,not_in_library_graveyard,9
568,5,7,U,CAST,not_in_hand,14
569,6,7,U,DRAW,not_in_library_hand,13
570,5,5,U,LAND,not_in_hand,7
571,8,9,U,BLOCK,no_blocker,15
572,9,11,U,ATTACK,no_attacker_absent,7
573,9,8,O,CASTI,not_playable,10
574,4,9,O,ATTACK,no_attacker_absent,25
575,7,3,O,SWAP,not_in_library_missing,1
576,13,13,U,CAST,not_in_hand,5
577,6,6,U,CAST,activate_failed,11
578,7,7,U,LAND,not_in_hand,4
579,6,7,O,SWAP,not_in_library_missing,15
580,5,5,U,DRAW,not_in_library_graveyard,22
581,5,,,,,0
582,3,5,U,DRAW,not_in_library_graveyard,19
583,6,8,U,DRAW,not_in_library_battlefield,23
584,9,,,,,0
585,5,7,U,DRAW,not_in_library_graveyard,12
586,3,7,U,CAST,not_in_hand,10
587,7,10,U,ATTACK,no_attacker_absent,10
588,8,10,U,LAND,not_in_hand,14
589,11,6,O,CASTI,not_playable,2
590,6,6,U,DRAW,not_in_library_graveyard,16
591,9,9,O,SWAP,not_in_library_graveyard,4
592,5,5,O,BLOCK,no_blocker,10
593,10,12,O,BLOCK,no_blocker,2
594,3,5,U,ATTACK,no_attacker_absent,13
595,12,13,O,SWAP,no_spare_hand_grew,1
596,7,11,O,SWAP,not_in_library_battlefield,3
597,5,5,U,LAND,not_in_hand,10
598,8,8,U,DRAW,not_in_library_graveyard,26
599,11,11,O,CAST,not_playable,4
600,3,5,U,ATTACK,no_attacker_absent,3
601,5,5,U,CAST,activate_failed,9
602,7,7,O,BLOCK,no_blocker,6
603,5,6,U,DRAW,not_in_library_battlefield,9
604,6,8,O,SWAP,not_in_library_graveyard,5
605,4,6,U,DRAW,not_in_library_hand,11
606,7,7,O,CAST,not_playable,2
607,9,14,U,CAST,not_in_hand,1
608,8,10,U,ATTACK,no_attacker_sick_or_cannot,4
609,5,10,O,CAST,not_playable,2
610,5,5,U,CAST,not_playable,11
