set	game	file	r	turns	creatures	first_creature_own_turn	lands_by4	lands	nin_windows	nin_taken	nin_opp_turns	flash_inst_off	flash_inst_taken	ctr_off	ctr_taken	rem_n	rem_best	selfrem_off	selfrem_taken	rh_blight
drill_M_D_n015_t05632	19	rec_drill_M_D_n015_t05632.jsonl	1.0	24	4	1	2	5	0	0	0	28	2	2	1	2	2	0	0	1
drill_M_D_n015_t05632	20	rec_drill_M_D_n015_t05632.jsonl	1.0	19	1	4	5	8	0	0	0	68	1	0	0	0	0	0	0	0
drill_M_D_n015_t05632	21	rec_drill_M_D_n015_t05632.jsonl	1.0	18	3	2	4	8	0	0	0	80	3	1	1	1	1	0	0	0
drill_M_D_n015_t05632	22	rec_drill_M_D_n015_t05632.jsonl	1.0	15	6	2	3	5	0	0	0	14	2	2	1	0	0	1	1	0
drill_M_D_n015_t05632	23	rec_drill_M_D_n015_t05632.jsonl	1.0	20	3	4	3	5	0	0	0	58	2	3	2	1	1	0	0	0
drill_M_D_n015_t05632	24	rec_drill_M_D_n015_t05632.jsonl	-1.0	32	7	1	5	8	0	0	0	242	3	7	3	3	2	0	0	1
drill_M_D_n015_t05632	25	rec_drill_M_D_n015_t05632.jsonl	-1.0	17	4	2	4	8	0	0	0	84	0	0	0	0	0	1	1	1
drill_M_D_n015_t05632	26	rec_drill_M_D_n015_t05632.jsonl	-1.0	18	3	4	5	9	0	0	0	81	2	0	0	0	0	2	1	1
drill_M_D_n015_t05632	27	rec_drill_M_D_n015_t05632.jsonl	1.0	16	1	6	2	5	0	0	0	15	1	0	0	2	1	0	0	0
drill_M_D_n015_t05632	28	rec_drill_M_D_n015_t05632.jsonl	-1.0	20	3	0	3	6	0	0	0	44	1	1	1	0	0	1	1	1
drill_M_D_n015_t05632	29	rec_drill_M_D_n015_t05632.jsonl	-1.0	15	1	7	4	6	0	0	1	1	1	0	0	0	0	0	0	0
drill_M_D_n015_t05632	30	rec_drill_M_D_n015_t05632.jsonl	-1.0	32	2	4	5	9	0	0	0	108	1	5	1	0	0	1	1	1
drill_M_D_n015_t05632	31	rec_drill_M_D_n015_t05632.jsonl	1.0	12	2	2	4	5	0	0	0	0	0	2	2	0	0	0	0	0
drill_M_D_n015_t05632	32	rec_drill_M_D_n015_t05632.jsonl	1.0	11	3	1	5	6	1	1	1	9	0	3	2	0	0	0	0	0
drill_M_D_n015_t05632	33	rec_drill_M_D_n015_t05632.jsonl	1.0	16	1	6	4	5	0	0	0	0	0	0	0	0	0	2	2	2
drill_M_D_n015_t05632	34	rec_drill_M_D_n015_t05632.jsonl	-1.0	16	5	1	3	4	0	0	0	27	3	2	1	0	0	1	1	1
drill_M_D_n015_t05632	35	rec_drill_M_D_n015_t05632.jsonl	1.0	14	5	1	4	4	0	0	0	22	2	1	1	1	1	0	0	0
drill_M_D_n015_t05632	36	rec_drill_M_D_n015_t05632.jsonl	1.0	17	1	3	3	5	0	0	0	50	1	1	1	1	1	1	1	1
drill_M_D_n015_t05632	37	rec_drill_M_D_n015_t05632.jsonl	-1.0	23	2	1	3	7	0	0	0	8	2	0	0	1	1	1	1	1
drill_M_D_n015_t05632	38	rec_drill_M_D_n015_t05632.jsonl	1.0	17	8	0	4	7	2	2	0	26	2	5	5	0	0	1	1	1
drill_M_D_n015_t05632	39	rec_drill_M_D_n015_t05632.jsonl	1.0	14	4	2	4	6	0	0	0	25	1	2	2	1	0	0	0	0
drill_M_D_n015_t05632	40	rec_drill_M_D_n015_t05632.jsonl	-1.0	16	1	3	5	8	0	0	0	7	1	0	0	0	0	1	1	0
drill_M_D_n015_t05632	41	rec_drill_M_D_n015_t05632.jsonl	1.0	16	4	1	4	7	0	0	0	49	1	2	1	0	0	1	1	1
drill_M_D_n015_t05632	42	rec_drill_M_D_n015_t05632.jsonl	-1.0	20	4	1	5	10	0	0	0	18	2	1	0	2	1	0	0	0
drill_M_D_n015_t05632	43	rec_drill_M_D_n015_t05632.jsonl	1.0	18	3	5	4	9	0	0	0	31	3	2	1	0	0	1	1	0
drill_M_D_n015_t05632	44	rec_drill_M_D_n015_t05632.jsonl	-1.0	14	3	1	4	5	0	0	0	32	0	0	0	1	0	0	0	0
drill_M_D_n015_t05632	45	rec_drill_M_D_n015_t05632.jsonl	-1.0	13	0	None	4	6	0	0	0	24	1	0	0	3	2	0	0	0
drill_M_D_n015_t05632	46	rec_drill_M_D_n015_t05632.jsonl	1.0	21	7	1	5	6	0	0	0	61	3	2	1	1	1	1	1	1
drill_M_D_n015_t05632	47	rec_drill_M_D_n015_t05632.jsonl	-1.0	11	2	3	4	5	0	0	0	1	1	0	0	0	0	0	0	0
drill_M_D_n015_t05632	48	rec_drill_M_D_n015_t05632.jsonl	1.0	11	4	1	4	4	0	0	0	11	2	0	0	1	1	0	0	0
drill_M_D_n015_t05632	49	rec_drill_M_D_n015_t05632.jsonl	-1.0	17	0	None	2	4	0	0	0	38	2	0	0	2	1	0	0	0
