set	game	file	r	turns	creatures	first_creature_own_turn	lands_by4	lands	nin_windows	nin_taken	nin_opp_turns	flash_inst_off	flash_inst_taken	ctr_off	ctr_taken	rem_n	rem_best	selfrem_off	selfrem_taken	rh_blight
drill_M_D_n021_t06144	21	rec_drill_M_D_n021_t06144.jsonl	1.0	20	5	3	4	9	0	0	0	7	3	3	0	2	2	1	1	2
drill_M_D_n021_t06144	22	rec_drill_M_D_n021_t06144.jsonl	1.0	21	7	2	3	6	0	0	0	6	4	4	2	1	1	0	0	1
drill_M_D_n021_t06144	23	rec_drill_M_D_n021_t06144.jsonl	1.0	18	5	4	3	5	1	0	1	19	4	1	0	1	1	0	0	0
drill_M_D_n021_t06144	24	rec_drill_M_D_n021_t06144.jsonl	-1.0	24	7	1	5	7	0	0	0	29	5	6	4	0	0	0	0	0
drill_M_D_n021_t06144	25	rec_drill_M_D_n021_t06144.jsonl	-1.0	19	7	2	4	9	0	0	0	29	3	3	0	1	1	1	1	2
drill_M_D_n021_t06144	26	rec_drill_M_D_n021_t06144.jsonl	-1.0	20	6	4	5	10	0	0	0	39	4	0	0	1	0	2	1	1
drill_M_D_n021_t06144	27	rec_drill_M_D_n021_t06144.jsonl	1.0	16	4	6	2	4	0	0	0	22	3	0	0	2	1	0	0	0
drill_M_D_n021_t06144	28	rec_drill_M_D_n021_t06144.jsonl	-1.0	20	4	0	3	6	0	0	0	2	2	1	1	0	0	1	1	1
drill_M_D_n021_t06144	29	rec_drill_M_D_n021_t06144.jsonl	-1.0	15	1	7	4	6	0	0	1	1	1	0	0	0	0	0	0	0
drill_M_D_n021_t06144	30	rec_drill_M_D_n021_t06144.jsonl	-1.0	34	3	4	5	9	0	0	0	131	3	7	1	0	0	1	1	1
drill_M_D_n021_t06144	31	rec_drill_M_D_n021_t06144.jsonl	1.0	12	2	2	4	5	1	1	1	0	0	3	3	0	0	0	0	0
drill_M_D_n021_t06144	32	rec_drill_M_D_n021_t06144.jsonl	1.0	11	4	1	5	6	1	1	1	9	1	0	0	0	0	0	0	0
drill_M_D_n021_t06144	33	rec_drill_M_D_n021_t06144.jsonl	1.0	16	1	6	4	5	0	0	0	0	0	0	0	0	0	2	2	2
drill_M_D_n021_t06144	34	rec_drill_M_D_n021_t06144.jsonl	-1.0	18	6	2	3	5	0	0	0	24	3	1	0	0	0	1	1	1
drill_M_D_n021_t06144	35	rec_drill_M_D_n021_t06144.jsonl	1.0	18	6	1	4	4	0	0	0	12	3	3	3	1	1	0	0	0
drill_M_D_n021_t06144	36	rec_drill_M_D_n021_t06144.jsonl	-1.0	14	2	3	3	5	0	0	0	3	1	1	1	0	0	1	1	0
drill_M_D_n021_t06144	37	rec_drill_M_D_n021_t06144.jsonl	-1.0	21	1	5	3	7	0	0	0	52	1	0	0	1	1	1	1	1
drill_M_D_n021_t06144	38	rec_drill_M_D_n021_t06144.jsonl	1.0	17	9	0	4	7	0	0	0	14	5	0	0	0	0	1	1	1
drill_M_D_n021_t06144	39	rec_drill_M_D_n021_t06144.jsonl	1.0	14	6	2	4	6	1	1	0	6	3	4	2	0	0	0	0	0
drill_M_D_n021_t06144	40	rec_drill_M_D_n021_t06144.jsonl	-1.0	14	1	2	5	7	0	0	0	1	1	0	0	0	0	1	1	0
drill_M_D_n021_t06144	41	rec_drill_M_D_n021_t06144.jsonl	1.0	18	5	1	4	7	0	0	0	2	1	3	0	0	0	3	1	1
drill_M_D_n021_t06144	42	rec_drill_M_D_n021_t06144.jsonl	-1.0	14	4	1	5	7	0	0	0	15	2	0	0	1	0	0	0	0
drill_M_D_n021_t06144	43	rec_drill_M_D_n021_t06144.jsonl	1.0	24	6	5	4	11	0	0	0	23	6	1	1	0	0	1	1	0
drill_M_D_n021_t06144	44	rec_drill_M_D_n021_t06144.jsonl	1.0	15	6	1	4	5	1	1	2	10	3	0	0	1	1	0	0	0
drill_M_D_n021_t06144	45	rec_drill_M_D_n021_t06144.jsonl	-1.0	11	0	None	4	5	0	0	0	0	0	0	0	2	1	0	0	0
drill_M_D_n021_t06144	46	rec_drill_M_D_n021_t06144.jsonl	1.0	19	5	1	5	5	0	0	0	26	3	1	0	1	1	0	0	1
drill_M_D_n021_t06144	47	rec_drill_M_D_n021_t06144.jsonl	-1.0	13	3	3	4	6	0	0	0	1	1	2	0	0	0	0	0	0
drill_M_D_n021_t06144	48	rec_drill_M_D_n021_t06144.jsonl	1.0	13	4	1	3	4	0	0	0	2	2	1	1	0	0	1	1	0
drill_M_D_n021_t06144	49	rec_drill_M_D_n021_t06144.jsonl	-1.0	17	1	7	2	4	0	0	0	16	2	1	1	2	1	0	0	0
