consult	file	k	class	src	partner	p_before	p_after	dp	dlogit	dlogit_raw	flip	argmax_before	argmax_after
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Will of the All-Hunter	0.236372	0.245637	0.009265	0.050655	0.054840	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Last Breath	0.236372	0.246718	0.010346	0.056482	0.061170	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Curtain of Light	0.236372	0.236092	0.000279	0.001549	0.001671	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Unlikely Alliance	0.236372	0.158440	0.077932	0.497208	0.523391	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Phalanx Tactics	0.236372	0.172986	0.063386	0.391940	0.414502	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	1	self_mana	Dromoka Warrior	1	0.236372	0.238198	0.001826	0.010088	0.010895	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Soul Parry	0.236372	0.218538	0.017834	0.101532	0.108959	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	True Identity	0.236372	0.140640	0.095732	0.637309	0.667076	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Angelsong	0.236372	0.257031	0.020659	0.111217	0.120853	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Will of the All-Hunter	0.236372	0.245637	0.009265	0.050655	0.054840	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Last Breath	0.236372	0.246718	0.010346	0.056482	0.061170	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Curtain of Light	0.236372	0.236092	0.000279	0.001549	0.001671	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Unlikely Alliance	0.236372	0.158440	0.077932	0.497208	0.523391	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	type	Dromoka Warrior	Phalanx Tactics	0.236372	0.172986	0.063386	0.391940	0.414502	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	2	self_mana	Dromoka Warrior	2	0.236372	0.238198	0.001826	0.010088	0.010895	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	pt	Elite Vanguard	Eager Cadet	0.207098	0.208097	0.000999	0.006072	0.006461	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	type	Elite Vanguard	Strip Bare	0.207098	0.239835	0.032738	0.188926	0.203068	1	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	type	Elite Vanguard	Scent of Jasmine	0.207098	0.170388	0.036710	0.240371	0.252736	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	type	Elite Vanguard	Inheritance	0.207098	0.183881	0.023217	0.147761	0.156023	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	type	Elite Vanguard	Swallow Whole	0.207098	0.206607	0.000491	0.002990	0.003180	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	type	Elite Vanguard	Soul Snare	0.207098	0.194509	0.012589	0.078465	0.083131	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	type	Elite Vanguard	You Cannot Pass!	0.207098	0.238659	0.031561	0.182460	0.196043	1	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	type	Elite Vanguard	Burst of Energy	0.207098	0.225936	0.018838	0.111106	0.118893	0	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	type	Elite Vanguard	Gideon's Defeat	0.207098	0.234821	0.027723	0.161221	0.173010	1	SPELL	SPELL
5	7c_W0Base_p1.jsonl	3	self_mana	Elite Vanguard	3	0.207098	0.205316	0.001782	0.010888	0.011575	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	pt	Elite Vanguard	Eager Cadet	0.646706	0.644538	0.002169	0.009478	0.009987	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	type	Elite Vanguard	Strip Bare	0.646706	0.675104	0.028398	0.126769	0.134482	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	type	Elite Vanguard	Scent of Jasmine	0.646706	0.580971	0.065735	0.277832	0.289365	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	type	Elite Vanguard	Inheritance	0.646706	0.616313	0.030393	0.130663	0.136920	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	type	Elite Vanguard	Swallow Whole	0.646706	0.717929	0.071222	0.329618	0.353621	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	type	Elite Vanguard	Soul Snare	0.646706	0.631864	0.014842	0.064371	0.067653	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	type	Elite Vanguard	You Cannot Pass!	0.646706	0.679847	0.033140	0.148474	0.157687	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	type	Elite Vanguard	Burst of Energy	0.646706	0.656087	0.009380	0.041310	0.043635	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	type	Elite Vanguard	Gideon's Defeat	0.646706	0.695975	0.049269	0.223613	0.238452	0	SPELL	SPELL
7	7c_W0Base_p1.jsonl	1	self_mana	Elite Vanguard	1	0.646706	0.650463	0.003757	0.016484	0.017390	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Soul Parry	0.330489	0.308226	0.022263	0.102451	0.110177	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	True Identity	0.330489	0.208849	0.121639	0.625900	0.656532	1	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Angelsong	0.330489	0.355707	0.025218	0.111930	0.121920	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Will of the All-Hunter	0.330489	0.340348	0.009859	0.044232	0.047977	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Last Breath	0.330489	0.343330	0.012841	0.057485	0.062403	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Curtain of Light	0.330489	0.330674	0.000185	0.000836	0.000905	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Unlikely Alliance	0.330489	0.232115	0.098373	0.490429	0.517338	1	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Phalanx Tactics	0.330489	0.249901	0.080588	0.393167	0.416563	1	SPELL	SPELL
9	7c_W0Base_p1.jsonl	1	self_mana	Dromoka Warrior	1	0.330489	0.328268	0.002221	0.010055	0.010871	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	pt	Regal Unicorn	Pearled Unicorn	0.229250	0.223283	0.005967	0.034084	0.035480	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	pt	Regal Unicorn	Those Who Serve	0.229250	0.308745	0.079496	0.406562	0.432273	1	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	cost	Regal Unicorn	Armored Warhorse	0.229250	0.267729	0.038479	0.206376	0.217159	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	cost	Regal Unicorn	Starfleet Crew	0.229250	0.248293	0.019044	0.104817	0.109769	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	cost	Regal Unicorn	Kyoshi Warrior Guard	0.229250	0.265300	0.036051	0.193953	0.203964	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	type	Regal Unicorn	Promise of Tomorrow	0.229250	0.244454	0.015204	0.084139	0.088032	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	type	Regal Unicorn	Thorough Investigation	0.229250	0.172250	0.057000	0.357212	0.367524	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	type	Regal Unicorn	We Ride at Dawn	0.229250	0.129799	0.099450	0.690180	0.703789	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	type	Regal Unicorn	Charge of the Mites	0.229250	0.196585	0.032664	0.195221	0.201961	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	type	Regal Unicorn	Phyrexian Unlife	0.229250	0.226031	0.003219	0.018309	0.019072	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	type	Regal Unicorn	Dauntless Onslaught	0.229250	0.230111	0.000862	0.004871	0.005078	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	type	Regal Unicorn	Sheer Drop	0.229250	0.303628	0.074379	0.382474	0.406124	1	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	type	Regal Unicorn	Healing Hands	0.229250	0.243527	0.014278	0.079116	0.082758	0	SPELL	SPELL
9	7c_W0Base_p1.jsonl	5	self_mana	Regal Unicorn	5	0.229250	0.231357	0.002108	0.011889	0.012400	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	pt	Regal Unicorn	Pearled Unicorn	0.347445	0.339077	0.008368	0.037120	0.038714	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	pt	Regal Unicorn	Those Who Serve	0.347445	0.443138	0.095693	0.401853	0.428227	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	cost	Regal Unicorn	Armored Warhorse	0.347445	0.395115	0.047670	0.204430	0.215581	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	cost	Regal Unicorn	Starfleet Crew	0.347445	0.371456	0.024012	0.104316	0.109478	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	cost	Regal Unicorn	Kyoshi Warrior Guard	0.347445	0.390845	0.043401	0.186530	0.196531	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	type	Regal Unicorn	Promise of Tomorrow	0.347445	0.366148	0.018703	0.081513	0.085457	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	type	Regal Unicorn	Thorough Investigation	0.347445	0.271201	0.076244	0.358248	0.369194	1	SPELL	PASS
13	7c_W0Base_p1.jsonl	4	type	Regal Unicorn	We Ride at Dawn	0.347445	0.208348	0.139097	0.704622	0.719237	1	SPELL	PASS
13	7c_W0Base_p1.jsonl	4	type	Regal Unicorn	Charge of the Mites	0.347445	0.303670	0.043774	0.199591	0.206828	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	type	Regal Unicorn	Phyrexian Unlife	0.347445	0.344491	0.002954	0.013055	0.013630	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	type	Regal Unicorn	Dauntless Onslaught	0.347445	0.346874	0.000570	0.002517	0.002629	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	type	Regal Unicorn	Sheer Drop	0.347445	0.438638	0.091194	0.383600	0.408358	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	type	Regal Unicorn	Healing Hands	0.347445	0.368509	0.021064	0.091671	0.096152	0	SPELL	SPELL
13	7c_W0Base_p1.jsonl	4	self_mana	Regal Unicorn	4	0.347445	0.344762	0.002682	0.011853	0.012375	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	pt	Regal Unicorn	Pearled Unicorn	0.662925	0.655866	0.007059	0.031429	0.033329	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	pt	Regal Unicorn	Those Who Serve	0.662925	0.729519	0.066595	0.315830	0.341523	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	cost	Regal Unicorn	Armored Warhorse	0.662925	0.678617	0.015692	0.071067	0.075766	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	cost	Regal Unicorn	Starfleet Crew	0.662925	0.675734	0.012809	0.057879	0.061662	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	cost	Regal Unicorn	Kyoshi Warrior Guard	0.662925	0.627719	0.035205	0.153909	0.162249	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	type	Regal Unicorn	Promise of Tomorrow	0.662925	0.618881	0.044044	0.191554	0.201585	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	type	Regal Unicorn	Thorough Investigation	0.662925	0.515156	0.147769	0.615712	0.637352	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	type	Regal Unicorn	We Ride at Dawn	0.662925	0.429194	0.233730	0.961493	0.985745	1	SPELL	PASS
14	7c_W0Base_p1.jsonl	1	type	Regal Unicorn	Charge of the Mites	0.662925	0.532782	0.130142	0.545036	0.565538	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	type	Regal Unicorn	Phyrexian Unlife	0.662925	0.569580	0.093345	0.396218	0.413385	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	type	Regal Unicorn	Dauntless Onslaught	0.662925	0.610487	0.052437	0.226993	0.238501	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	type	Regal Unicorn	Sheer Drop	0.662925	0.724588	0.061664	0.290982	0.314171	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	type	Regal Unicorn	Healing Hands	0.662925	0.649974	0.012951	0.057431	0.060824	0	SPELL	SPELL
14	7c_W0Base_p1.jsonl	1	self_mana	Regal Unicorn	1	0.662925	0.659049	0.003875	0.017294	0.018353	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Soul Parry	0.493427	0.467573	0.025854	0.103596	0.111830	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	True Identity	0.493427	0.347794	0.145632	0.602454	0.634472	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Angelsong	0.493427	0.521916	0.028490	0.114017	0.124734	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Will of the All-Hunter	0.493427	0.501325	0.007899	0.031597	0.034385	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Last Breath	0.493427	0.508242	0.014815	0.059265	0.064607	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Curtain of Light	0.493427	0.495002	0.001575	0.006303	0.006848	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Unlikely Alliance	0.493427	0.376881	0.116546	0.476513	0.504604	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	type	Dromoka Warrior	Phalanx Tactics	0.493427	0.396105	0.097322	0.395427	0.420331	0	SPELL	SPELL
16	7c_W0Base_p1.jsonl	1	self_mana	Dromoka Warrior	1	0.493427	0.491025	0.002401	0.009607	0.010429	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	type	Blade of the Sixth Pride	Potion of Healing	0.569416	0.540394	0.029022	0.117542	0.126977	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	type	Blade of the Sixth Pride	Sonar Strike	0.569416	0.469300	0.100116	0.402424	0.428208	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	type	Blade of the Sixth Pride	Kellan's Lightblades	0.569416	0.508644	0.060772	0.244889	0.262680	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	type	Blade of the Sixth Pride	Font of Vigor	0.569416	0.483545	0.085871	0.345312	0.368474	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	type	Blade of the Sixth Pride	Clear	0.569416	0.623691	0.054275	0.225776	0.249306	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	type	Blade of the Sixth Pride	Defiant Stand	0.569416	0.526663	0.042753	0.172716	0.185997	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	type	Blade of the Sixth Pride	Swift Response	0.569416	0.584900	0.015484	0.063453	0.069307	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	type	Blade of the Sixth Pride	Absolute Grace	0.569416	0.411105	0.158311	0.638868	0.672633	0	SPELL	SPELL
24	7c_W0Base_p1.jsonl	1	self_mana	Blade of the Sixth Pride	1	0.569416	0.567097	0.002319	0.009452	0.010276	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text	Glory Seeker	Story Seeker	0.666003	0.730974	0.064972	0.309411	0.335401	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_emb	Glory Seeker	Story Seeker	0.666003	0.718720	0.052717	0.247959	0.267763	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_kw	Glory Seeker	Story Seeker	0.666003	0.679450	0.013447	0.061086	0.065256	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text	Glory Seeker	Bishop's Soldier	0.666003	0.763908	0.097905	0.484064	0.530857	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_emb	Glory Seeker	Bishop's Soldier	0.666003	0.752932	0.086929	0.424150	0.463241	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_kw	Glory Seeker	Bishop's Soldier	0.666003	0.679450	0.013447	0.061086	0.065256	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text	Glory Seeker	Sun Sentinel	0.666003	0.680435	0.014433	0.065612	0.070109	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_emb	Glory Seeker	Sun Sentinel	0.666003	0.687343	0.021340	0.097566	0.104437	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_kw	Glory Seeker	Sun Sentinel	0.666003	0.658177	0.007825	0.034977	0.037176	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text	Glory Seeker	Head of Security	0.666003	0.720400	0.054398	0.256287	0.276898	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_emb	Glory Seeker	Head of Security	0.666003	0.712320	0.046318	0.216519	0.233368	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_kw	Glory Seeker	Head of Security	0.666003	0.674135	0.008132	0.036787	0.039247	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text	Glory Seeker	Agent of Atlas	0.666003	0.679643	0.013640	0.061970	0.066204	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_emb	Glory Seeker	Agent of Atlas	0.666003	0.694717	0.028715	0.132107	0.141687	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_kw	Glory Seeker	Agent of Atlas	0.666003	0.649904	0.016099	0.071545	0.075900	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text	Glory Seeker	Huatli's Snubhorn	0.666003	0.691370	0.025367	0.116372	0.124699	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_emb	Glory Seeker	Huatli's Snubhorn	0.666003	0.697144	0.031141	0.143573	0.154085	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_kw	Glory Seeker	Huatli's Snubhorn	0.666003	0.658177	0.007825	0.034977	0.037176	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text	Glory Seeker	Alabaster Host Sanctifier	0.666003	0.755082	0.089079	0.435742	0.476276	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_emb	Glory Seeker	Alabaster Host Sanctifier	0.666003	0.744230	0.078228	0.377913	0.411472	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_kw	Glory Seeker	Alabaster Host Sanctifier	0.666003	0.679450	0.013447	0.061086	0.065256	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text	Glory Seeker	Mesa Unicorn	0.666003	0.718087	0.052085	0.244834	0.264338	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_emb	Glory Seeker	Mesa Unicorn	0.666003	0.705669	0.039667	0.184283	0.198243	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	text_kw	Glory Seeker	Mesa Unicorn	0.666003	0.679450	0.013447	0.061086	0.065256	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	pt	Glory Seeker	Starfleet Crew	0.666003	0.705893	0.039890	0.185358	0.199413	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	pt	Glory Seeker	Kyoshi Warrior Guard	0.666003	0.652322	0.013680	0.060897	0.064639	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	pt	Glory Seeker	Squire	0.666003	0.666525	0.000522	0.002348	0.002501	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	cost	Glory Seeker	Pearled Unicorn	0.666003	0.682754	0.016751	0.076296	0.081573	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	type	Glory Seeker	Nahiri's Machinations	0.666003	0.521766	0.144236	0.603039	0.625637	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	type	Glory Seeker	Bathe in Light	0.666003	0.657291	0.008712	0.038915	0.041352	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	type	Glory Seeker	Lumithread Field	0.666003	0.546063	0.119940	0.505384	0.526142	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	type	Glory Seeker	Desperate Lunge	0.666003	0.665577	0.000425	0.001911	0.002035	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	type	Glory Seeker	Steadfastness	0.666003	0.675352	0.009349	0.042332	0.045176	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	type	Glory Seeker	Bovine Intervention	0.666003	0.656134	0.009868	0.044046	0.046792	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	type	Glory Seeker	True Identity	0.666003	0.576066	0.089936	0.383515	0.401155	0	SPELL	SPELL
28	7c_W0Base_p1.jsonl	1	type	Glory Seeker	Search for Dagger	0.666003	0.486525	0.179478	0.744073	0.768470	1	SPELL	PASS
28	7c_W0Base_p1.jsonl	1	self_mana	Glory Seeker	1	0.666003	0.662522	0.003480	0.015606	0.016603	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	text	Foot Soldiers	Makindi Griffin	0.664902	0.745987	0.081085	0.392108	0.427162	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	text_emb	Foot Soldiers	Makindi Griffin	0.664902	0.748981	0.084079	0.407970	0.444912	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	text_kw	Foot Soldiers	Makindi Griffin	0.664902	0.661927	0.002975	0.013324	0.014172	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	pt	Foot Soldiers	Dutiful Servants	0.664902	0.735858	0.070956	0.339331	0.368398	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	pt	Foot Soldiers	Ironclad Krovod	0.664902	0.711988	0.047086	0.219842	0.236911	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	cost	Foot Soldiers	Those Who Serve	0.664902	0.743624	0.078722	0.379674	0.413278	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	type	Foot Soldiers	Crack in Time	0.664902	0.654270	0.010632	0.047356	0.050285	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	type	Foot Soldiers	Allied Reinforcements	0.664902	0.626378	0.038524	0.168507	0.177871	0	SPELL	SPELL
30	7c_W0Base_p1.jsonl	1	type	Foot Soldiers	Frantic Salvage	0.664902	0.745803	0.080901	0.391137	0.426077	0	SPELL	SPELL
